CMDLINE /Users/andrea/anaconda3/envs/General/bin/python3.11 main.py
MEM 2546.343750 1763672333.2207
MEM 2546.343750 1763672333.3257
MEM 2546.343750 1763672333.4289
MEM 2546.359375 1763672333.5339
MEM 2546.359375 1763672333.6390
MEM 2546.359375 1763672333.7440
MEM 2546.359375 1763672333.8491
MEM 2546.359375 1763672333.9542
MEM 2546.359375 1763672334.0569
MEM 2546.359375 1763672334.1620
MEM 2546.359375 1763672334.2670
MEM 2546.359375 1763672334.3720
MEM 2546.359375 1763672334.4725
MEM 2546.359375 1763672334.5777
MEM 2546.359375 1763672334.6825
MEM 2546.359375 1763672334.7838
MEM 2547.218750 1763672334.8889
MEM 2547.218750 1763672334.9897
MEM 2547.218750 1763672335.0948
MEM 2547.218750 1763672335.1977
MEM 2547.218750 1763672335.3027
MEM 2547.218750 1763672335.4078
MEM 2547.218750 1763672335.5080
MEM 2547.218750 1763672335.6131
MEM 2547.218750 1763672335.7182
MEM 2547.218750 1763672335.8234
MEM 2547.218750 1763672335.9284
MEM 2547.218750 1763672336.0335
MEM 2547.218750 1763672336.1385
MEM 2547.218750 1763672336.2387
MEM 2547.218750 1763672336.3438
MEM 2547.218750 1763672336.4488
MEM 2547.218750 1763672336.5538
MEM 2547.218750 1763672336.6589
MEM 2547.218750 1763672336.7640
MEM 2547.218750 1763672336.8690
MEM 2547.218750 1763672336.9741
MEM 2547.218750 1763672337.0791
MEM 2547.218750 1763672337.1842
MEM 2547.218750 1763672337.2892
MEM 2547.218750 1763672337.3942
MEM 2547.218750 1763672337.4943
MEM 2547.218750 1763672337.5995
MEM 2547.218750 1763672337.7003
MEM 2547.218750 1763672337.8031
MEM 2547.218750 1763672337.9082
MEM 2547.218750 1763672338.0129
MEM 2547.218750 1763672338.1179
MEM 2547.218750 1763672338.2230
MEM 2547.218750 1763672338.3280
MEM 2547.218750 1763672338.4331
MEM 2547.218750 1763672338.5381
MEM 2547.218750 1763672338.6405
MEM 2547.218750 1763672338.7456
MEM 2547.218750 1763672338.8506
MEM 2547.218750 1763672338.9556
MEM 2547.218750 1763672339.0607
MEM 2547.218750 1763672339.1658
MEM 2547.218750 1763672339.2708
MEM 2547.218750 1763672339.3759
MEM 2547.218750 1763672339.4789
MEM 2547.218750 1763672339.5801
MEM 2547.218750 1763672339.6852
MEM 2547.218750 1763672339.7903
MEM 2547.218750 1763672339.8948
MEM 2547.218750 1763672339.9984
MEM 2547.218750 1763672340.1028
MEM 2547.218750 1763672340.2059
MEM 2547.218750 1763672340.3110
MEM 2547.968750 1763672340.4119
MEM 2547.968750 1763672340.5169
MEM 2547.968750 1763672340.6220
MEM 2547.968750 1763672340.7270
MEM 2547.968750 1763672340.8320
MEM 2547.968750 1763672340.9371
MEM 2547.968750 1763672341.0422
MEM 2547.968750 1763672341.1472
MEM 2547.968750 1763672341.2524
MEM 2547.968750 1763672341.3574
MEM 2547.968750 1763672341.4626
MEM 2547.968750 1763672341.5677
MEM 2547.968750 1763672341.6728
MEM 2547.968750 1763672341.7779
MEM 2547.968750 1763672341.8829
MEM 2547.968750 1763672341.9871
MEM 2547.968750 1763672342.0922
MEM 2547.968750 1763672342.1973
MEM 2547.968750 1763672342.3023
MEM 2547.968750 1763672342.4074
MEM 2547.968750 1763672342.5089
MEM 2547.968750 1763672342.6139
MEM 2547.968750 1763672342.7189
MEM 2547.968750 1763672342.8222
MEM 2547.968750 1763672342.9272
MEM 2547.968750 1763672343.0323
MEM 2547.968750 1763672343.1374
MEM 2547.968750 1763672343.2422
MEM 2547.968750 1763672343.3473
MEM 2547.968750 1763672343.4523
MEM 2547.968750 1763672343.5558
MEM 2547.968750 1763672343.6608
MEM 2547.968750 1763672343.7659
MEM 2547.968750 1763672343.8706
MEM 2547.968750 1763672343.9757
MEM 2547.968750 1763672344.0808
MEM 2547.968750 1763672344.1858
MEM 2547.968750 1763672344.2909
MEM 2547.968750 1763672344.3959
MEM 2547.968750 1763672344.5009
MEM 2548.187500 1763672344.6060
MEM 3690.812500 1763672344.7112
MEM 4366.593750 1763672344.8131
MEM 4826.875000 1763672344.9164
MEM 4845.500000 1763672345.0191
MEM 4696.781250 1763672345.1242
MEM 4807.687500 1763672345.2294
MEM 5064.015625 1763672345.3346
MEM 5164.671875 1763672345.4397
MEM 5246.812500 1763672345.5449
MEM 5331.593750 1763672345.6501
MEM 5415.640625 1763672345.7553
MEM 5523.656250 1763672345.8604
MEM 5656.156250 1763672345.9656
MEM 5729.437500 1763672346.0660
MEM 5826.468750 1763672346.1712
MEM 5653.562500 1763672346.2732
MEM 6152.531250 1763672346.3784
MEM 5350.828125 1763672346.4835
MEM 5469.343750 1763672346.5886
MEM 5504.828125 1763672346.6937
MEM 5506.203125 1763672346.7987
MEM 5507.375000 1763672346.9024
MEM 5508.609375 1763672347.0075
MEM 5584.546875 1763672347.1114
MEM 5692.687500 1763672347.2166
MEM 5729.406250 1763672347.3217
MEM 5758.265625 1763672347.4270
MEM 5815.000000 1763672347.5322
MEM 5822.796875 1763672347.6373
MEM 5783.796875 1763672347.7424
MEM 5623.796875 1763672347.8454
MEM 5560.796875 1763672347.9506
MEM 5525.796875 1763672348.0558
MEM 5453.500000 1763672348.1609
MEM 5453.500000 1763672348.2661
MEM 5453.500000 1763672348.3671
MEM 5453.796875 1763672348.4721
MEM 5453.796875 1763672348.5772
MEM 5453.843750 1763672348.6822
MEM 5453.859375 1763672348.7873
MEM 5453.906250 1763672348.8923
MEM 5453.937500 1763672348.9929
MEM 5453.953125 1763672349.0981
MEM 5453.968750 1763672349.2032
MEM 5453.968750 1763672349.3082
MEM 5453.968750 1763672349.4085
MEM 5453.984375 1763672349.5136
MEM 5453.984375 1763672349.6187
MEM 5453.984375 1763672349.7191
MEM 5453.984375 1763672349.8216
MEM 5453.984375 1763672349.9266
MEM 5453.984375 1763672350.0317
MEM 5454.125000 1763672350.1321
MEM 5454.125000 1763672350.2327
MEM 5454.125000 1763672350.3374
MEM 5454.125000 1763672350.4425
MEM 5454.125000 1763672350.5475
MEM 5454.125000 1763672350.6526
MEM 5454.140625 1763672350.7577
MEM 5454.140625 1763672350.8596
MEM 5454.140625 1763672350.9647
MEM 5454.140625 1763672351.0698
MEM 5454.140625 1763672351.1749
MEM 5454.140625 1763672351.2800
MEM 5454.140625 1763672351.3850
MEM 5454.140625 1763672351.4901
MEM 5454.140625 1763672351.5952
MEM 5454.140625 1763672351.6957
MEM 5454.140625 1763672351.8007
MEM 5454.140625 1763672351.9058
MEM 5454.140625 1763672352.0079
MEM 5454.140625 1763672352.1130
MEM 5454.140625 1763672352.2180
MEM 5454.140625 1763672352.3231
MEM 5454.140625 1763672352.4281
MEM 5454.140625 1763672352.5332
MEM 5454.140625 1763672352.6382
MEM 5454.140625 1763672352.7433
MEM 5454.140625 1763672352.8483
MEM 5454.140625 1763672352.9534
MEM 5454.140625 1763672353.0584
MEM 5454.156250 1763672353.1617
MEM 5454.156250 1763672353.2668
MEM 5454.156250 1763672353.3718
MEM 5454.156250 1763672353.4743
MEM 5454.156250 1763672353.5793
MEM 5454.156250 1763672353.6799
MEM 5454.156250 1763672353.7850
MEM 5454.156250 1763672353.8900
MEM 5454.156250 1763672353.9913
MEM 5454.156250 1763672354.0963
MEM 5454.156250 1763672354.2015
MEM 5454.156250 1763672354.3065
MEM 5454.156250 1763672354.4080
MEM 5454.156250 1763672354.5131
MEM 5454.156250 1763672354.6181
MEM 5454.156250 1763672354.7203
